,age,gender,emailContactable,postalContactable,postalCode,numberChildren,reactivationValue,toothBrushType,MrPropreTrier,AntikalTrier,ArielTrier,DashTrier,scentLover,petOwner,ecoInterest,washDishes,liquidDetergent,podsDetergent,powderDetergent,pc_score,postalScore,score_event
62,25,1,1,1,66,0,4,0,0,0,0,0,0,0,2,0,1,0,0,3,73,0
63,55,1,1,0,91,1,4,0,0,0,0,0,3,1,0,0,1,0,0,3,207,0
64,35,1,1,1,89,1,3,0,0,0,1,1,1,1,1,0,1,0,0,3,75,0
65,35,1,1,1,30,2,4,0,0,0,1,1,2,0,0,0,0,0,0,3,124,1
66,45,0,0,1,44,1,4,1,0,0,1,1,0,0,1,0,0,0,0,2,260,0
67,25,1,1,1,44,3,4,0,1,1,1,1,0,0,0,1,0,1,0,2,260,0
68,35,1,1,1,60,3,4,1,0,0,0,0,0,1,4,1,1,0,0,4,259,0
69,45,1,1,1,42,2,2,0,0,0,0,0,3,1,3,0,1,0,0,1,115,0
70,35,1,1,1,37,3,4,0,1,0,1,0,2,1,0,1,1,0,0,2,148,0
71,35,1,0,1,72,4,3,0,0,0,0,0,0,1,0,0,0,1,0,3,148,0
72,55,0,1,1,62,3,1,1,0,0,0,0,0,1,1,0,0,0,0,4,616,0
73,55,1,1,1,59,3,4,0,0,0,0,1,3,1,4,0,0,1,0,4,808,1
74,25,0,1,1,16,0,1,1,0,0,0,0,0,0,1,0,1,0,0,2,60,0
75,35,0,1,1,61,2,4,1,0,0,0,0,0,1,0,1,0,1,0,3,70,0
76,45,1,1,1,2,5,4,0,0,0,0,1,0,0,0,0,1,0,0,3,209,0
77,35,1,1,1,60,1,4,0,0,0,1,0,1,0,3,0,1,0,0,4,259,1
78,55,1,1,1,19,0,4,1,0,0,0,0,3,1,0,1,1,0,0,1,27,0
79,75,1,1,1,38,1,3,0,0,0,1,0,0,1,3,0,0,1,0,4,165,0
80,35,1,1,1,59,3,4,0,0,0,0,0,0,1,3,1,0,1,0,4,808,0
81,25,1,1,1,11,1,1,1,0,0,0,0,0,1,3,0,1,0,0,3,77,0
82,35,1,1,1,60,3,3,0,1,0,0,0,0,1,4,1,0,1,0,4,259,0
83,45,1,1,1,62,2,4,1,0,0,1,1,0,1,2,0,0,1,0,4,616,2
84,55,1,1,0,29,2,2,0,0,0,1,1,0,1,1,0,0,1,0,1,188,0
85,35,1,1,1,78,0,2,0,0,0,0,0,1,1,1,0,1,0,0,3,238,0
86,25,1,1,1,42,2,2,1,0,0,1,1,0,0,0,0,1,0,0,1,115,0
87,35,1,1,1,86,5,2,1,0,0,0,0,2,1,0,1,1,0,0,2,103,0
88,55,1,1,1,72,0,4,0,0,0,0,0,0,1,3,0,1,0,0,3,148,0
89,35,1,1,1,59,2,3,1,0,0,0,0,0,1,1,0,1,0,0,4,808,0
90,35,1,1,1,54,2,2,0,0,0,0,0,0,0,2,0,1,0,0,3,154,0
91,35,1,1,1,95,2,1,0,0,0,0,0,0,0,0,0,0,1,0,4,200,0
92,45,1,0,1,62,5,2,0,0,0,0,0,0,0,0,0,1,0,0,4,616,0
93,55,1,1,1,88,1,4,1,0,0,0,0,0,0,3,1,1,0,0,1,68,3
94,35,1,1,1,62,2,4,0,1,0,0,0,0,1,2,0,1,0,0,4,616,1
95,35,1,1,1,91,1,2,0,0,0,1,0,0,0,0,0,0,1,0,3,207,0
96,35,1,1,1,67,1,2,1,0,0,1,1,0,1,0,1,1,0,0,2,169,0
97,35,1,1,1,13,3,1,0,0,0,0,1,2,0,0,0,0,1,0,2,216,0
98,25,1,1,1,94,5,4,1,0,0,1,0,0,0,1,0,1,0,0,3,199,0
99,65,1,1,1,42,0,4,0,0,0,0,0,1,0,3,0,1,0,0,1,115,1
100,55,1,1,1,31,0,4,1,0,0,1,1,0,0,3,0,1,0,0,2,200,0
101,55,1,1,1,84,1,4,1,0,0,0,0,0,1,3,1,0,0,1,3,82,7
102,45,1,1,1,70,5,4,1,0,0,1,1,1,1,0,1,0,1,0,1,55,0
103,45,1,1,1,2,1,4,0,0,0,0,0,1,1,0,0,0,1,0,3,209,0
104,35,1,1,1,93,2,3,1,0,0,0,1,1,1,1,0,0,1,0,3,242,0
105,25,1,1,1,37,1,4,0,0,0,0,0,0,1,1,0,0,0,0,2,148,0
106,75,1,1,1,77,0,4,0,0,0,0,0,0,0,2,0,1,0,0,3,232,1
107,35,1,1,0,53,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,51,0
108,45,1,1,1,11,0,4,0,0,0,1,1,1,0,0,0,0,0,0,3,77,0
109,45,1,1,1,44,0,4,0,0,0,0,1,0,0,3,0,1,0,0,2,260,4
110,45,1,1,1,80,1,4,0,0,0,0,0,0,1,3,1,1,0,0,3,216,0
111,45,1,1,1,78,1,4,0,0,0,1,1,3,0,0,0,1,0,0,3,238,0
112,65,1,1,1,94,1,4,0,0,0,0,0,1,0,1,0,0,1,0,3,199,2
113,45,1,1,1,59,0,3,0,0,0,1,0,3,1,3,0,0,1,0,4,808,0
114,55,0,1,1,49,0,4,0,0,0,0,0,1,1,1,1,0,0,1,1,126,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0
116,35,1,1,1,49,1,4,0,0,0,0,0,0,1,1,0,1,0,0,1,126,0
117,65,1,1,1,60,0,2,1,0,0,0,0,0,1,3,1,0,1,0,4,259,0
118,35,1,1,1,45,2,3,0,0,0,0,0,0,0,1,1,1,0,0,3,178,0
119,35,1,1,1,31,1,4,1,0,0,0,0,0,1,0,0,0,1,0,2,200,0
120,45,1,1,1,27,2,4,0,0,0,1,0,0,1,0,0,1,0,0,3,150,1
121,25,0,1,1,59,1,4,0,0,0,0,0,0,1,0,0,1,0,0,4,808,0
122,25,1,1,1,83,0,4,1,0,0,0,0,0,1,0,1,1,0,0,3,120,0
123,85,0,1,1,34,0,4,0,0,0,0,0,0,0,1,1,0,0,1,4,192,0
124,35,0,1,1,13,2,2,0,0,0,0,1,1,0,1,1,0,1,0,2,216,0
125,35,1,1,1,80,0,4,0,0,0,0,0,0,1,3,0,1,0,0,3,216,0
126,35,1,1,1,14,2,2,1,0,0,0,1,0,1,0,1,0,1,0,3,115,0
127,55,1,1,1,78,2,4,1,1,1,1,1,0,0,3,0,1,0,0,3,238,0
128,35,0,1,1,86,5,4,1,1,0,1,1,0,1,0,1,1,0,0,2,103,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0
130,35,1,1,1,14,2,4,0,0,0,1,1,0,1,1,0,1,0,0,3,115,0
131,35,1,1,1,59,3,4,1,1,0,1,1,0,1,0,0,1,0,0,4,808,0
132,35,1,1,1,76,1,4,0,0,0,0,0,0,1,3,0,0,1,0,3,282,0
133,35,1,1,1,59,2,4,0,0,0,0,0,0,1,4,1,1,0,0,4,808,0
134,55,0,1,1,57,0,4,0,0,0,0,0,0,0,1,0,1,0,0,4,212,1
135,45,1,1,1,95,3,2,0,0,0,0,0,0,0,3,1,1,0,0,4,200,0
136,35,1,1,1,49,0,4,1,0,0,1,1,0,1,2,0,0,1,0,1,126,3
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0
138,35,1,1,1,27,0,4,0,0,0,1,0,1,1,2,0,1,0,0,3,150,0
139,45,1,1,1,42,1,4,0,0,0,0,0,2,1,1,1,1,0,0,1,115,0
140,45,1,1,1,33,0,3,0,0,0,1,1,0,1,1,1,1,0,0,2,296,0
141,35,1,0,1,74,0,3,0,0,0,0,0,0,0,1,1,1,0,0,2,77,0
142,35,1,1,0,91,0,3,1,0,0,1,1,2,1,3,0,0,1,0,3,207,0
143,35,1,1,1,74,0,4,0,0,0,0,0,0,0,4,0,1,0,0,2,77,1
144,45,1,1,1,74,3,4,0,0,0,0,1,1,1,3,1,0,0,0,2,77,0
145,35,0,1,1,54,0,4,1,1,0,1,1,0,0,1,0,0,1,0,3,154,0
146,45,1,1,1,60,0,4,1,0,0,1,1,0,0,0,0,0,1,0,4,259,0
147,45,1,1,1,75,1,4,0,0,0,1,0,0,0,0,0,1,0,0,3,128,0
148,45,0,1,1,33,0,4,0,0,0,0,1,2,1,1,1,1,0,0,2,296,0
149,45,1,1,1,67,0,4,0,0,0,0,0,2,0,3,1,1,0,0,2,169,0
150,35,1,1,1,60,0,4,1,0,0,0,0,0,0,3,0,0,1,0,4,259,1
151,55,1,1,1,60,3,4,0,0,0,0,0,0,1,2,0,1,0,0,4,259,0
152,35,1,1,1,67,3,4,1,0,0,0,0,2,1,0,1,0,1,0,2,169,0
153,35,1,0,0,38,1,4,0,0,0,1,1,0,1,0,0,0,1,0,4,165,1
154,35,1,1,1,21,1,4,0,0,0,1,0,1,0,1,0,1,0,0,2,107,0
155,45,1,1,1,74,1,4,1,1,0,1,1,3,1,3,0,1,0,0,2,77,0
156,45,1,1,1,94,2,4,1,1,1,1,1,3,0,0,0,1,0,0,3,199,2
157,25,1,1,1,44,0,4,0,0,0,1,0,0,1,2,0,1,0,0,2,260,0
158,55,1,1,0,11,1,4,0,0,0,1,0,1,1,0,1,0,1,0,3,77,0
159,45,1,1,1,59,1,4,0,0,0,1,0,0,0,0,0,0,1,0,4,808,2
160,35,0,1,1,51,0,4,0,1,0,0,1,0,1,0,1,1,0,0,2,168,1
161,45,1,1,1,53,0,4,0,0,0,0,0,0,1,3,1,0,0,0,1,51,1
162,35,1,1,1,33,0,2,0,0,1,1,0,0,1,3,0,0,1,0,2,296,0
163,65,1,1,1,59,1,4,0,0,0,1,1,0,1,0,0,0,1,0,4,808,1
164,35,1,1,1,59,3,3,0,0,0,0,0,0,1,0,0,1,0,0,4,808,0
165,35,1,1,1,45,2,2,0,0,0,0,0,0,1,3,1,1,0,0,3,178,0
166,45,1,1,1,80,2,4,1,0,1,1,1,3,0,4,0,0,1,0,3,216,0
167,35,1,0,1,42,0,4,0,0,0,1,0,0,0,1,1,1,0,0,1,115,0
168,85,0,1,1,9,0,4,0,0,0,0,0,0,0,1,1,1,0,0,3,17,4
169,35,1,1,1,27,0,4,0,0,0,1,0,0,1,0,1,1,0,0,3,150,0
170,55,0,1,1,8,0,2,0,0,0,1,1,0,1,2,0,0,1,0,2,82,0
171,45,1,1,1,2,3,2,0,0,0,1,1,0,1,2,1,0,1,0,3,209,0
172,45,1,1,1,46,1,2,0,0,0,1,1,3,1,2,1,0,0,0,2,18,0
173,35,0,1,0,62,3,4,0,1,0,1,1,0,1,1,0,1,0,0,4,616,0
174,35,1,1,1,79,2,2,1,0,0,1,0,0,1,3,0,1,0,0,2,70,0
175,35,1,1,1,81,2,4,1,0,0,0,0,1,1,3,0,1,0,0,2,61,0
176,35,1,1,1,13,1,4,1,1,0,0,0,0,1,1,1,0,0,0,2,216,0
177,55,0,1,1,33,0,4,0,1,0,1,1,1,1,2,1,1,0,0,2,296,1
178,45,1,0,1,44,0,4,0,1,0,1,1,0,0,3,0,0,1,0,2,260,0
179,45,1,1,1,59,2,2,1,0,1,1,1,0,1,0,0,1,0,0,4,808,1
180,45,1,1,1,59,0,4,0,0,0,0,0,0,1,1,1,1,0,0,4,808,0
181,35,0,1,1,66,0,4,1,0,0,0,0,0,0,2,0,1,0,0,3,73,0
182,25,1,1,1,59,0,2,1,0,0,1,1,0,1,0,0,1,0,0,4,808,0
183,45,0,1,1,8,0,1,1,0,1,1,1,0,1,1,0,1,0,0,2,82,0
184,35,1,1,1,38,1,4,0,0,0,0,0,0,1,3,1,0,0,0,4,165,0
185,65,0,1,1,88,0,4,1,0,0,0,1,0,1,1,1,0,1,0,1,68,0
186,25,1,1,1,92,3,4,0,0,0,1,0,0,1,1,0,1,0,0,3,193,2
187,35,1,1,1,89,2,4,1,1,0,1,1,0,1,4,0,1,0,0,3,75,0
188,35,1,1,1,72,3,4,0,0,0,0,1,1,1,3,0,0,0,0,3,148,1
189,25,1,1,1,60,5,4,0,0,0,1,1,0,0,0,0,0,1,0,4,259,0
190,35,1,1,1,62,5,1,0,0,0,0,0,0,1,3,1,1,0,0,4,616,0
191,35,1,1,1,37,1,4,1,0,0,0,0,0,1,3,0,1,0,0,2,148,1
192,35,1,1,1,17,1,4,1,0,0,0,0,1,0,3,1,1,0,0,3,106,0
193,45,1,1,1,62,1,4,1,0,0,1,0,0,1,4,0,1,0,0,4,616,0
194,35,1,1,1,72,2,4,0,0,0,1,0,0,1,3,1,1,0,0,3,148,0
195,35,1,1,1,30,1,4,0,0,0,1,0,1,1,3,0,1,0,0,3,124,8
196,35,1,1,1,72,1,4,0,0,0,0,0,0,1,0,0,1,0,0,3,148,0
197,55,1,0,0,71,0,3,1,0,0,0,0,0,1,2,1,0,1,0,2,79,0
198,45,1,1,1,31,2,4,1,0,0,0,0,3,0,3,1,1,0,0,2,200,0
199,75,0,1,1,38,0,4,0,0,0,0,0,0,0,1,1,0,0,0,4,165,3
200,25,1,1,1,57,2,4,0,0,0,0,0,0,1,2,0,1,0,0,4,212,0
201,25,1,1,1,33,0,3,0,0,0,0,0,0,0,1,0,0,1,0,2,296,0
202,75,1,1,1,59,0,4,0,0,0,1,1,0,0,2,0,0,0,1,4,808,2
203,45,1,1,1,78,3,4,1,1,0,0,1,3,1,2,1,0,1,0,3,238,7
204,25,1,1,1,38,2,3,1,0,0,1,1,0,1,1,1,0,0,0,4,165,0
205,35,1,1,1,26,2,4,0,0,0,0,0,0,0,0,1,0,1,0,3,70,1
206,45,1,1,1,31,3,2,0,0,0,1,0,1,1,3,1,0,0,0,2,200,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0
208,25,1,1,1,59,1,3,0,0,0,1,1,0,0,0,0,0,1,0,4,808,0
209,45,1,1,1,55,2,4,0,0,0,0,0,3,0,3,1,0,0,0,3,51,0
210,35,1,1,1,34,1,4,0,1,0,0,0,1,1,0,0,1,0,0,4,192,8
211,45,1,1,1,85,2,4,1,0,0,1,1,0,0,3,1,0,0,0,2,121,0
212,45,1,1,1,78,0,4,0,0,0,1,1,3,1,2,0,1,0,0,3,238,1
213,35,1,1,1,2,1,4,1,0,0,0,0,0,1,3,0,0,1,0,3,209,1
214,25,1,1,1,34,0,1,1,0,0,1,1,0,1,1,0,1,0,0,4,192,0
215,35,1,1,1,75,0,4,0,0,0,1,0,2,0,4,0,1,0,0,3,128,0
216,65,1,1,1,33,1,4,0,0,0,0,0,1,1,3,1,1,0,0,2,296,0
217,35,1,1,1,33,0,3,0,0,0,0,0,1,1,1,0,1,0,0,2,296,0
218,45,1,1,0,37,2,4,0,0,0,0,0,0,0,3,0,1,0,0,2,148,4
219,45,1,1,1,77,0,4,0,0,0,0,0,2,0,0,0,0,1,0,3,232,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0
221,25,1,1,1,92,2,4,0,0,0,1,1,1,0,1,0,0,0,0,3,193,0
222,65,1,0,0,31,0,4,0,0,0,1,1,3,0,4,0,0,1,0,2,200,0
223,55,1,1,1,70,1,4,1,0,0,0,0,1,1,0,1,1,0,0,1,55,0
224,35,1,1,1,38,2,4,1,0,0,0,0,0,1,0,0,1,0,0,4,165,3
225,35,1,1,1,52,3,4,1,0,0,1,1,1,1,0,1,0,1,0,2,35,0
226,55,1,1,1,62,2,3,0,0,0,1,0,1,1,0,0,1,0,0,4,616,0
227,55,1,1,1,29,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,188,0
228,65,0,1,1,75,2,2,0,0,0,0,0,0,0,1,0,1,0,0,3,128,0
229,45,1,1,1,72,3,4,0,0,0,1,1,0,0,0,0,1,0,0,3,148,0
230,45,1,1,1,91,1,3,0,1,0,0,0,0,0,3,0,1,0,0,3,207,0
231,35,1,1,1,59,0,4,1,0,0,0,1,0,1,3,0,0,1,0,4,808,0
232,55,1,1,1,33,0,4,1,0,0,0,0,1,1,3,0,1,0,0,2,296,0
233,35,1,1,1,54,2,4,0,0,0,0,0,0,1,1,1,1,0,0,3,154,0
234,35,1,1,1,31,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,200,0
235,85,0,1,1,95,0,4,1,0,0,0,0,0,1,0,0,1,0,0,4,200,2
236,75,1,1,1,62,0,4,0,0,0,0,0,1,1,3,0,0,1,0,4,616,0
237,35,1,1,1,90,2,4,0,0,0,0,0,0,0,2,1,0,1,0,2,15,7
238,35,1,1,0,59,3,4,0,0,0,0,0,0,1,0,0,1,0,0,4,808,1
239,45,1,1,1,16,3,3,0,0,0,0,0,0,1,0,0,1,0,0,2,60,0
240,25,1,1,1,22,0,4,0,0,0,0,0,0,1,1,0,1,0,0,1,102,0
241,65,1,0,1,23,0,3,0,0,0,1,1,0,0,1,0,0,0,0,1,15,0
242,45,1,1,1,61,1,3,0,1,0,0,0,0,1,2,1,0,1,0,3,70,0
243,75,1,1,1,33,1,4,0,0,0,0,0,0,1,3,0,1,0,0,2,296,3
244,45,1,1,1,31,0,4,0,1,0,1,0,0,1,4,0,1,0,0,2,200,7
245,55,1,1,1,26,0,4,0,0,0,0,0,0,1,0,0,1,0,0,3,70,1
246,25,1,1,1,59,1,2,0,0,0,0,0,0,1,1,0,1,0,0,4,808,0
247,35,1,1,1,62,0,4,1,0,0,0,0,1,1,3,0,1,0,0,4,616,1
248,55,1,0,0,77,1,2,0,0,0,0,1,0,1,0,1,1,0,0,3,232,0
249,35,1,1,1,57,1,4,0,0,0,0,1,0,0,0,0,0,0,0,4,212,2
250,45,1,1,1,91,1,2,0,0,0,0,0,3,1,0,1,0,0,0,3,207,0
251,65,1,1,1,4,0,4,0,0,0,1,1,0,1,2,0,0,1,0,3,17,2
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0
253,45,1,1,1,60,5,2,1,0,0,1,1,0,0,3,0,0,0,0,4,259,0
254,35,1,1,1,29,2,4,1,1,0,0,1,0,0,0,1,1,0,0,1,188,0
255,25,1,1,1,78,0,3,0,0,0,1,1,0,0,0,1,0,1,0,3,238,0
256,55,1,1,1,2,1,4,0,1,0,1,1,1,1,0,1,1,0,0,3,209,0
257,35,1,1,1,80,1,4,1,0,0,1,1,0,1,0,1,0,1,0,3,216,0
258,25,0,1,1,13,0,3,0,0,0,0,0,0,1,1,1,0,1,0,2,216,0
259,25,1,1,1,80,0,4,0,1,0,1,0,0,1,1,0,1,0,0,3,216,0
260,25,1,1,1,78,0,4,0,1,1,1,1,0,0,0,0,0,1,0,3,238,5
261,45,1,1,1,62,0,4,0,0,0,0,0,0,1,1,0,1,0,0,4,616,7
262,35,1,1,1,91,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,207,4
263,45,1,1,1,84,0,4,0,0,1,1,1,2,0,1,0,0,1,0,3,82,0
264,55,1,0,1,27,3,3,0,0,0,1,0,0,0,0,0,1,0,0,3,150,0
265,35,1,1,1,35,2,4,0,0,0,0,0,2,1,1,1,1,0,0,1,170,5
266,35,1,1,1,43,1,3,1,0,0,0,0,1,0,0,0,1,0,0,1,35,0
267,35,1,1,1,62,2,4,1,0,0,1,0,0,1,1,0,1,0,0,4,616,0
268,65,1,1,1,49,0,4,1,0,0,0,0,0,1,2,1,1,0,0,1,126,0
269,65,0,1,1,65,0,4,0,1,0,0,1,1,0,2,0,1,0,0,1,19,1
270,35,1,1,1,13,0,4,0,0,0,0,0,0,1,2,0,1,0,0,2,216,0
271,35,1,1,1,30,2,4,0,0,0,0,0,0,1,0,0,1,0,0,3,124,1
272,35,1,1,1,21,3,4,0,1,0,0,1,1,0,3,0,1,0,0,2,107,0
273,45,1,1,1,63,0,4,1,1,1,1,0,0,1,3,1,1,0,0,1,115,0
274,35,1,1,1,76,3,4,0,1,0,1,0,0,0,4,0,1,0,0,3,282,7
275,45,1,1,1,67,3,4,1,0,0,0,0,2,0,0,0,1,0,0,2,169,0
276,35,1,1,1,59,3,1,0,1,0,0,0,0,0,1,0,1,0,0,4,808,0
277,35,1,1,1,76,1,4,0,0,0,0,0,1,0,1,0,0,0,1,3,282,2
278,35,1,1,1,69,2,3,0,0,0,0,0,0,1,1,0,1,0,0,2,235,0
279,55,1,1,1,77,1,4,1,1,0,1,1,0,1,0,1,0,1,0,3,232,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0
281,25,1,1,1,60,1,4,1,0,1,1,0,0,1,3,1,1,0,0,4,259,0
282,65,1,1,1,66,0,4,0,1,1,1,1,0,0,1,1,0,1,0,3,73,5
283,25,1,1,1,56,4,2,1,0,0,0,0,0,1,0,0,0,0,1,1,124,0
284,65,1,1,1,54,0,4,1,0,0,0,0,0,0,3,1,1,0,0,3,154,2
285,45,1,1,1,56,0,4,1,0,0,0,0,0,0,2,1,0,0,1,1,124,1
286,45,1,1,1,62,0,4,0,0,0,0,0,0,0,1,0,0,0,0,4,616,0
287,45,1,1,1,93,2,4,1,0,0,0,0,0,0,2,0,0,1,0,3,242,0
288,25,1,1,1,72,1,1,0,0,0,0,0,0,1,1,0,0,1,0,3,148,0
289,45,1,1,1,62,2,2,0,0,0,1,1,1,1,0,0,1,0,0,4,616,0
290,55,1,1,1,68,1,4,0,0,0,0,0,1,1,0,0,1,0,0,2,113,0
291,45,1,1,1,54,1,4,1,0,0,0,0,2,1,2,0,1,0,0,3,154,0
292,25,1,1,1,21,0,2,0,1,0,1,1,0,1,0,0,0,1,0,2,107,0
293,45,1,1,0,80,1,4,0,0,0,0,0,2,1,3,0,0,0,0,3,216,0
294,55,1,1,1,80,0,3,0,0,0,0,0,2,1,1,0,1,0,0,3,216,0
295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0
296,65,1,1,1,68,0,4,1,1,0,1,1,0,0,2,1,0,0,0,2,113,8
297,65,1,1,1,59,0,2,1,0,0,0,1,1,0,3,1,0,1,0,4,808,0
