userId,age,gender,registrationDate,languageCode,countryCode,emailContactable,postalContactable,postalCode,numberChildren,lastActivityDate,reactivationValue,toothBrushType,detergentType,MrPropreTrier,AntikalTrier,ArielTrier,DashTrier,scentLover,petOwner,ecoInterest,closestShop,washDishes
use_1YPIOHQrIlrouWkJxCt1TzdfPjU,46,F,2017-10-15T14:39:39Z,fr,FRA,True,True,34170,2,2020-04-03T13:06:28.927279Z,Active,Electric,Pods,,,,,,No - maybe future,High,,Auto
use_pJDgT1aBqqLGC8IdRoM1TzetxLG,27,F,2018-09-01T16:46:29Z,fr,FRA,True,True,37250,0,2020-10-29T12:32:14.047365Z,Active,Electric,Pods,,,Known Trier,,,Yes,,5. Drive,Hand
use_NsJxiHnJg9vuJAJjVJo1Tzep2Im,59,F,2012-08-23T00:00:00Z,fr,FRA,True,True,67800,1,2020-12-02T13:37:12.09775Z,Active,,,Known Trier,Known Trier,Known Trier,,,Yes,High,,Auto
use_lSUtveLx5yoPI80bC8a1TZPPjtb,28,M,2006-05-02T00:00:00Z,fr,FRA,True,True,31650,0,2021-05-20T19:35:45.57081Z,Active,Manual,Pods,Known Trier,Known Trier,Known Trier,Known Trier,,No - maybe future,Medium,,Auto
use_TBY4ozTT8X1n9O2wAdn1Tzdab9t,37,F,2018-05-14T07:45:30Z,fr,FRA,True,True,77400,2,2021-02-19T08:03:03.22557Z,Active,,Liquid,,,Known Trier,,Low,Yes,,,Hand
use_lmn9cosMZd8FR9SERBK1Tzeg3cs,34,F,2018-02-25T13:45:43Z,fr,FRA,True,False,78000,2,2021-02-22T13:05:00.681552Z,Active,Manual,Pods,Known Trier,,Known Trier,Known Trier,Medium,No - maybe future,Low,,Hand
use_0AzwtZDLQvJauwr51W51TzdqzLX,58,F,2015-10-09T12:34:10Z,fr,FRA,True,True,92300,2,2021-05-28T16:39:16.347487Z,Active,Electric,Liquid,,,,,High,No - maybe future,Low,,Auto
use_qCD1d3jid6gWHMtVEFT1TzdsWPI,30,F,2014-09-17T00:00:00Z,fr,FRA,True,True,02000,1,2021-04-19T14:07:44.376776Z,Active,Electric,Powder,,,Known Trier,Known Trier,,Yes,High,,Hand
use_WD2Pq2FR6r1ZErVA3PY1Tze82FB,53,F,2014-10-25T00:00:00Z,fr,FRA,True,True,66100,0,2020-12-17T13:47:28.099313Z,Active,Manual,Liquid,,,,,,Yes,High,1. Magasin de Proximit�,Hand
use_OKRR2EdvSFvxFG3cnym1Tzdk1j1,46,F,2013-07-05T00:00:00Z,fr,FRA,True,True,62410,2,2021-03-11T11:46:15.307619Z,Active,Electric,Liquid,,,Known Trier,Known Trier,High,No - maybe future,Very high,,Hand
use_rsPHkFh01BGuSKanq6v1TzdZbUc,49,F,2007-07-19T00:00:00Z,fr,FRA,True,True,38550,2,2021-05-20T15:04:35.616287Z,Dormant,Electric,Pods,Known Trier,,Known Trier,Known Trier,NonUser,Yes,,,Auto
use_rAiiqHMeVxUjLdOy2hc1Tzdcziv,44,F,2017-06-20T18:55:06Z,fr,FRA,True,True,10420,,2021-04-01T11:31:17.663483Z,Active,Electric,Liquid,,,Known Trier,Known Trier,,No,,,Hand
use_oQWCOUpf54YOSSUw74Z1TzdwvbF,50,F,2010-06-23T00:00:00Z,fr,FRA,True,True,94700,2,2020-09-11T06:14:04.765047Z,Active,,,Known Trier,,,Known Trier,,Yes,Low,,Hand
use_9nyOnDQZZ1gKXya12Cp1TzdfC0f,40,F,2018-02-18T17:50:44Z,fr,FRA,True,True,80750,2,2021-02-01T06:32:29.313957Z,Active,Electric,Liquid,Known Trier,,,,,Yes,High,,Hand
use_jtI3QPQuYNJHu3uSPUA1TzddNm4,66,M,2010-07-20T00:00:00Z,fr,FRA,True,True,59141,0,2020-07-21T16:15:44.946566Z,Lapsed,Manual,Pods,Known Trier,,Known Trier,Known Trier,NonUser,No,,,Hand
use_TWi3LrtpIT3C4bHXtUt1TzeKLV9,42,F,2016-07-12T18:59:21Z,fr,FRA,True,True,14570,3,2021-01-23T16:55:53.326186Z,Active,Manual,,,,,,High,No,Medium,,Hand
use_0IEaQciMAkf8Pe4fgim1Tzgpr1y,35,F,2014-07-15T00:00:00Z,fr,FRA,True,True,35133,2,2020-09-10T18:23:57.676749Z,Lapsed,Manual,Liquid,,Known Trier,,Known Trier,Low,Yes,,,Auto
use_MBNRmEernKgJWopqfZk1TzdcUAv,38,F,2010-11-03T00:00:00Z,fr,FRA,True,True,80190,1,2020-11-17T15:49:20.305575Z,Lapsed,Manual,Liquid,,,,,NonUser,No,Medium,,Hand
use_TGImnXr8Z8aV3tfyiML1Tze1Nk5,50,F,2008-02-28T00:00:00Z,fr,FRA,False,True,90300,1,2020-07-21T17:02:03.520928Z,Lapsed,Electric,Pods,,,,,,No - maybe future,Medium,,Auto
use_NXsGXQeE0iNAFySBOe31TzdcZPK,57,F,2015-08-28T21:10:34Z,fr,FRA,True,True,92130,2,2020-12-06T09:52:29.300571Z,Active,Electric,Pods,,,Known Trier,Known Trier,,No - maybe future,Low,,Auto
use_Ss0BF5iDut8nc4hs1Zg1TzfHHeV,60,F,2019-01-21T19:37:50Z,fr,FRA,True,False,26380,3,2021-03-12T22:17:39.867121Z,Dormant,Manual,Pods,,,Known Trier,,Low,Yes,,2. Moyenne Surface,Auto
use_I40SfjsiVLc2kQ8Hpkv1TzddLiF,49,F,2006-06-20T00:00:00Z,fr,FRA,True,True,62490,0,2021-05-16T07:34:12.483892Z,Active,Manual,Pods,,,,Known Trier,,Yes,High,,Auto
use_8V22tXVXzxRWeq3XjCI1TzdkEti,31,F,2015-10-21T16:28:18Z,fr,FRA,True,True,07340,1,2021-04-12T08:08:31.793452Z,Lapsing,,Pods,,,,,NonUser,Yes,,,Auto
use_vyAhnLGeMFHKsTWlw7v1TzeGcYi,49,F,2014-02-24T00:00:00Z,fr,FRA,True,True,44521,3,2021-03-09T14:28:55.0846Z,Active,Manual,Pods,,,,,,Yes,High,,Auto
use_2JXEEtTiGYis9bpnOYU1TzeW0s8,35,F,2018-10-01T14:14:47Z,fr,FRA,True,True,06700,2,2020-08-18T12:09:31.895053Z,Lapsed,Manual,Liquid,,,,,,No - maybe future,Low,1. Magasin de Proximit�,Auto
use_ZQI9pfMAAbRffg00Abn1Tzh7WW1,39,F,2019-09-24T09:14:02Z,fr,FRA,True,False,02240,1,2020-06-04T10:24:56.399111Z,Active,Manual,Pods,,,,,,No,,,Auto
use_Hg47ShWdYDQG2yVGCQD1TzdgxXn,38,F,2015-08-31T19:55:02Z,fr,FRA,True,True,59286,2,2021-05-10T09:23:05.652888Z,Active,Manual,Liquid,Known Trier,,Known Trier,Known Trier,,Yes,,,Hand
use_45EXZGug86yFa4slMLp1TzdepVZ,36,F,2016-01-11T10:11:41Z,fr,FRA,True,True,72170,2,2021-05-10T16:47:04.884732Z,Active,Manual,Pods,,,,,NonUser,Yes,High,3. SuperMarket,Auto
use_HCLujy80FISey2GV6Y01TzdYmYI,51,F,2011-04-10T00:00:00Z,fr,FRA,True,True,91130,0,2021-04-02T12:47:09.342367Z,Active,Electric,Pods,,,Known Trier,,High,No - maybe future,High,,Hand
use_ouLGn4jZvmrP959dWK21Tzdi8Mh,50,F,2015-10-07T16:08:38Z,fr,FRA,True,True,75012,2,2020-12-17T04:40:20.738289Z,Active,Manual,Liquid,,,,,High,No - maybe future,,,Hand
use_cLo7056mhRCauGBNrDj1TzdcwOE,51,F,2017-10-21T01:24:36Z,fr,FRA,True,True,29200,3,2020-11-15T02:56:45.375393Z,Lapsing,Manual,Pods,,,,,High,Yes,,,Hand
use_hA1OgG01Ff2W56LcLP61TzdbFAU,24,F,2018-04-10T19:22:39Z,fr,FRA,True,True,14100,0,2021-05-18T21:34:48.169278Z,Active,Manual,Liquid,Known Trier,Known Trier,Known Trier,Known Trier,,No - maybe future,Medium,,Hand
use_aJzMDfs6iNT4AtNaZb91Tzdojvz,29,F,2016-05-16T17:40:14Z,fr,FRA,True,True,79110,3,2021-04-20T23:01:48.942123Z,Lapsed,Electric,Liquid,,,Known Trier,,NonUser,Yes,High,,Hand
use_Wuh0QExpHIwtMH1ZFCs1TzeGdF5,29,F,2018-10-21T15:44:24Z,fr,FRA,True,True,91300,2,2021-03-25T11:53:04.747247Z,Active,Manual,Liquid,,,Known Trier,Known Trier,Low,Yes,,,Hand
use_ecTiZUJnIaRlwfIxirz1TzdsoZs,31,F,2016-03-14T12:26:06Z,fr,FRA,True,True,69120,,2021-02-28T22:24:22.805033Z,Active,,,,,Known Trier,Known Trier,Low,No - maybe future,Low,,Auto
use_qXTmBduzz9p5INkAJ0y1Tzdp3Kg,50,F,2017-01-24T21:44:40Z,fr,FRA,True,True,72100,1,2021-04-07T09:23:09.720387Z,Lapsed,Manual,,,,,,,No - maybe future,Low,,Hand
use_EBElwUqvRLRPmVMeM1l1TzdeTda,59,F,2012-06-13T00:00:00Z,fr,FRA,False,True,33100,1,2021-05-02T18:59:10.773655Z,Active,Manual,Liquid,,,Known Trier,,,No - maybe future,High,,Hand
use_IOUf0PeCSa3DlVSodiu1TzdL1dG,34,F,2018-09-18T12:44:35Z,fr,FRA,True,True,31770,2,2021-05-18T19:19:55.230285Z,Lapsing,Manual,Liquid,,,,,,Yes,,3. SuperMarket,Auto
use_pEKilp0f8Xfh9Q2bXfh1TzddiwJ,53,F,2017-07-21T19:32:53Z,fr,FRA,True,True,33110,1,2021-05-22T15:38:09.585345Z,Active,Electric,,,,Known Trier,Known Trier,Medium,Yes,Low,,Hand
use_w39InhB4fDb3bRgtzkP1TzdawPu,32,F,2016-01-01T05:48:14Z,fr,FRA,True,True,30000,,2021-01-08T14:18:59.197062Z,Active,,Liquid,,,Known Trier,Known Trier,NonUser,Yes,Low,,Hand
use_UvlFhpij882Kpd2LYSa1TzdnwIQ,28,F,2018-03-15T11:27:14Z,fr,FRA,True,True,44440,1,2020-11-05T19:19:43.332668Z,Active,Manual,Liquid,,,Known Trier,,NonUser,Yes,Low,,Auto
use_CLdIA1Pa7ArcJhBQXx21TzdLokH,40,F,2018-02-10T09:37:10Z,fr,FRA,True,True,51120,2,2021-03-13T15:33:52.692658Z,Active,Manual,Pods,,,,,,Yes,Medium,,Auto
use_blTeYGBopRDq2NhZH6D1TzdMcQk,44,F,2015-12-27T09:46:36Z,fr,FRA,True,True,32160,2,2021-05-19T08:25:49.414934Z,Active,Manual,Liquid,,,,,,Yes,,,Hand
use_AiB2YehU8FDqY6GToTF1TzdiBh3,48,F,2016-10-11T20:25:42Z,fr,FRA,True,True,59110,2,2021-02-02T12:32:34.770054Z,Active,Electric,Liquid,,,Known Trier,,High,Yes,High,,Hand
use_QJx1nIeQwFYIq9M6veb1TzdxJz4,31,F,2019-06-08T11:01:11Z,fr,FRA,False,True,28220,3,2021-02-15T15:29:26.034886Z,Lapsing,Manual,Liquid,,,,,NonUser,Yes,,,Hand
use_0o2ZnOTtbxP0XjC91DR1Tzdl7B3,29,F,2016-03-08T10:21:16Z,fr,FRA,True,True,80140,2,2021-05-15T08:01:55.318167Z,Lapsing,Electric,Pods,,,Known Trier,Known Trier,NonUser,Yes,Low,,Hand
use_CqEHtcEXtH5CFHPkJyE1Tze2Q2X,56,F,2016-02-25T17:16:08Z,fr,FRA,True,True,66690,,2021-03-01T15:21:30.874788Z,Active,Manual,Pods,,,Known Trier,Known Trier,Medium,Yes,,,Auto
use_wKXV8iZJ1adORTd2D2O1TzeKKSA,25,F,2017-12-18T16:58:34Z,fr,FRA,True,True,66100,0,2020-07-09T11:15:22.389846Z,Active,Manual,Liquid,,,,,NonUser,No,Medium,,Hand
use_V5vMYzolknoT6jvqIOJ1TzdxU6j,50,F,2006-06-12T00:00:00Z,fr,FRA,True,False,91210,1,2020-12-28T16:00:55.294633Z,Active,Manual,Liquid,,,,,High,Yes,,,Hand
use_LjPuYON2LZBTgrkGP8X1TzelDqI,32,F,2015-12-07T16:12:08Z,fr,FRA,True,True,89500,1,2021-05-05T15:36:10.046941Z,Lapsed,Manual,Liquid,,,Known Trier,Known Trier,Low,Yes,Low,3. SuperMarket,Hand
use_fnw4iPs36hbw3HWiRGI1Tze0YM4,34,F,2018-10-25T10:10:19Z,fr,FRA,True,True,30100,2,2021-04-02T07:00:42.219333Z,Active,Manual,,,,Known Trier,Known Trier,Medium,No - maybe future,,,Hand
use_WejdcUEKYEGA64WysnD1TzdrBss,48,M,2008-06-24T00:00:00Z,fr,FRA,False,True,44000,1,2021-05-28T07:34:50.533499Z,Active,Electric,,,,Known Trier,Known Trier,,No,Low,,Hand
use_U13ZSrZRDDsTaYzlW5n1TzdbOhp,20,F,2018-09-21T17:23:23Z,fr,FRA,True,True,44320,3,2021-01-13T16:58:50.59506Z,Active,Manual,Pods,Known Trier,Known Trier,Known Trier,Known Trier,NonUser,No - maybe future,,,Auto
use_DjXJTWTakUxpFtUEkuV1TzdjUgM,38,F,2018-02-23T18:04:56Z,fr,FRA,True,True,60660,3,2021-01-05T18:54:27.951282Z,Active,Electric,Liquid,,,,,,Yes,Very high,1. Magasin de Proximit�,Auto
use_N499BvTiXMVOSGPvJGc1Tzdd74a,42,F,2007-07-19T00:00:00Z,fr,FRA,True,True,42110,2,2020-11-17T19:20:34.250708Z,Lapsing,Manual,Liquid,,,,,High,Yes,High,3. SuperMarket,Hand
use_OUgPo9RlAYgS7Oq6h701TzddTxb,35,F,2019-05-09T12:22:40Z,fr,FRA,True,True,37400,3,2021-03-22T13:43:30.425581Z,Active,Manual,Liquid,Known Trier,,Known Trier,,Medium,Yes,,,Auto
use_HhgzEYpkGYx94qaNvSt1TzdsnnL,31,F,2019-08-31T13:40:47Z,fr,FRA,False,True,72800,4,2020-07-13T06:48:10.735601Z,Lapsed,Manual,Pods,,,,,,Yes,,,Hand
use_OtoOKUREPDEzBApJCEp1Tzemc6j,56,M,2015-01-13T00:00:00Z,fr,FRA,True,True,62880,3,2020-04-26T06:25:08.534562Z,Dormant,Electric,,,,,,,Yes,Low,,Hand
use_M7nPwqYPNzwUjjPHtnR1Tze8zJz,53,F,2009-03-23T00:00:00Z,fr,FRA,True,True,59610,3,2021-05-29T11:19:58.976591Z,Active,Manual,Pods,,,,Known Trier,High,Yes,Very high,,Hand
use_eOAi4H5Yc1HQE7kUjhQ1TzeDBms,23,M,2017-10-29T08:03:01Z,fr,FRA,True,True,16200,0,2020-08-31T21:18:25.369544Z,Dormant,Electric,Liquid,,,,,NonUser,No,Low,,Hand
use_C13cXGhOMRs4t0Qo2zY1TzdgVEL,34,M,2018-10-01T13:24:37Z,fr,FRA,True,True,61140,2,2020-11-15T18:58:14.101641Z,Active,Electric,Pods,,,,,,Yes,,2. Moyenne Surface,Auto
use_3ywfydniWtI8Ds0rKsW1Tzdyc4v,44,F,2018-09-12T15:24:33Z,fr,FRA,True,True,02420,4+,2021-03-23T15:03:50.74836Z,Active,Manual,Liquid,,,,Known Trier,,No - maybe future,,3. SuperMarket,Hand
use_E6BYPha6VRb9etUkKch1TzdcGKh,39,F,2012-03-12T00:00:00Z,fr,FRA,True,True,60550,1,2021-05-10T18:58:16.388826Z,Active,Manual,Liquid,,,Known Trier,,Low,No - maybe future,High,,Hand
use_p4xm0zmFTD291DtWIvn1TzdMhud,51,F,2017-11-16T08:26:52Z,fr,FRA,True,True,19200,0,2020-07-09T07:16:43.542507Z,Active,Electric,Liquid,,,,,High,Yes,,1. Magasin de Proximit�,Auto
use_k94BZCq6Rgf50AZ0AZH1TzdwrGA,71,F,2005-09-19T00:00:00Z,fr,FRA,True,True,38650,1,2020-03-22T18:41:12.798821Z,Lapsed,Manual,Pods,,,Known Trier,,,Yes,High,1. Magasin de Proximit�,Hand
use_nQviWrGuRI6nA0MUStw1TzdieOy,38,F,2005-07-28T00:00:00Z,fr,FRA,True,True,59200,3,2021-04-09T13:47:11.426963Z,Active,,Pods,,,,,,Yes,High,3. SuperMarket,Auto
use_gprZD76OyWQR9iAmHCx1TzdxivD,29,F,2014-09-21T00:00:00Z,FR,FRA,True,True,11120,1,2020-08-21T17:41:58.391106Z,Dormant,Electric,Liquid,,,,,,Yes,High,3. SuperMarket,Hand
use_G8IGmg4vZcVGuvXEHbu1Tzdxg09,36,F,2016-10-28T18:15:33Z,fr,FRA,True,True,60490,3,2020-08-05T11:45:16.618275Z,Lapsed,Manual,Pods,Known Trier,,,,,Yes,Very high,,Auto
use_EIrpq9U4DvdIJFhHPrS1Tzderta,48,F,2017-06-26T08:02:29Z,fr,FRA,True,True,62400,2,2021-05-28T15:40:10.356382Z,Active,Electric,Pods,,,Known Trier,Known Trier,,Yes,Medium,,Hand
use_wDFqO7eemplPNDuJu1W1Tzdao2m,50,F,2017-12-05T14:50:55Z,fr,FRA,True,False,29800,2,2020-11-10T15:34:44.299986Z,Lapsing,Manual,Pods,,,Known Trier,Known Trier,,Yes,Low,,Hand
use_TcR8VsS5rG54iJLeSkG1TzdsuON,31,F,2013-08-07T00:00:00Z,fr,FRA,True,True,78320,0,2020-11-20T20:01:07.803579Z,Lapsing,Manual,Liquid,,,,,Low,Yes,Low,,Hand
use_OVkbvKuu7jkDrtqhabf1TzdkVHM,26,F,2018-07-08T09:38:02Z,fr,FRA,True,True,42100,2,2020-05-28T20:34:09.79528Z,Lapsing,Electric,Liquid,,,Known Trier,Known Trier,,No - maybe future,,6. Hard Discounter,Hand
use_JWj2lSAXgwEmnhvCstY1Tzdmqj8,39,F,2018-02-18T22:41:47Z,fr,FRA,True,True,86550,4+,2021-04-29T20:31:09.63089Z,Lapsing,Electric,Liquid,,,,,Medium,Yes,,,Auto
use_MOtz3CrVuygleGvZgTq1TzdmvQo,55,F,2009-05-06T00:00:00Z,fr,FRA,True,True,72100,0,2020-12-28T15:43:52.249963Z,Active,Manual,Liquid,,,,,,Yes,High,,Hand
use_aEt4YMOJasjwNRFAg6R1TzfeYY4,38,F,2019-01-15T22:51:33Z,fr,FRA,True,True,59124,2,2021-04-08T20:31:40.658523Z,Lapsed,Electric,Liquid,,,,,,Yes,Low,2. Moyenne Surface,Hand
use_YWB7zadjbFtFIXeEHUr1TzgGsOp,34,F,2017-03-11T22:44:52Z,fr,FRA,True,True,54520,2,2020-12-01T10:54:11.885605Z,Lapsing,Manual,Liquid,,,,,,No,Medium,,Hand
use_D0ckVYEAhXggMk2nmaf1Tzf5j8z,31,F,2015-08-28T14:00:15Z,FR,FRA,True,True,95800,2,2020-08-22T22:04:28.803886Z,Dormant,Manual,Pods,,,,,NonUser,No,,,Hand
use_3Ypq3PjdzvANMKFilEm1Tzf2yZQ,40,F,2019-04-13T20:02:10Z,fr,FRA,False,True,62240,4+,2020-05-20T20:39:02.871928Z,Lapsing,Manual,Liquid,,,,,,No - maybe future,,,Hand
use_wX3fjPwdxBRXgeFjNIj1TzeARpB,50,F,2016-01-15T12:34:34Z,fr,FRA,True,True,88200,1,2021-03-12T11:13:17.532909Z,Active,Electric,Liquid,,,,,,No,High,,Auto
use_Gnvgihd8DeN89HCAfqj1TzdUrbU,35,F,2010-06-17T00:00:00Z,fr,FRA,True,True,62130,2,2021-05-28T22:47:05.513919Z,Active,Manual,Liquid,Known Trier,,,,NonUser,Yes,Medium,,Hand
use_n7CNczyppgaGPCEuzYA1TzeAHxA,30,F,2019-03-04T23:49:58Z,fr,FRA,True,True,91620,1,2020-03-22T17:17:01.541669Z,Lapsing,Manual,Pods,,,Known Trier,,NonUser,No,,1. Magasin de Proximit�,Hand
use_Hm7x3crzdjWdGpX8ZjE1TzeDSZf,34,F,2017-12-27T07:35:14Z,fr,FRA,True,True,67860,1,2020-05-18T05:27:09.303021Z,Lapsing,Electric,Liquid,,,Known Trier,Known Trier,,Yes,,,Auto
use_2VHAyu6WETYkj1farJ81TzgHeQl,39,F,2018-12-31T20:13:44Z,fr,FRA,True,True,13910,3,2020-12-05T13:18:22.539518Z,Dormant,Manual,Pods,,,,Known Trier,Medium,No,,,Hand
use_RnJ21yX9yqntu016paP1Tzdp5ni,26,F,2016-03-24T14:41:21Z,fr,FRA,True,True,94600,4+,2021-02-09T15:18:58.115615Z,Active,Electric,Liquid,,,Known Trier,,,No - maybe future,Low,,Hand
use_jjhNVguOvk4uTg6dLtS1TzeZ1y9,60,F,2018-01-14T18:20:27Z,fr,FRA,True,True,42330,0,2021-04-27T12:39:15.974346Z,Active,Manual,Liquid,,,,,Low,No,High,,Hand
use_ILEDdJOUtCkIn0xvJGS1Tzdh5ft,58,F,2007-05-28T00:00:00Z,fr,FRA,True,True,31210,0,2020-12-05T19:41:37.419486Z,Active,Electric,Liquid,,,Known Trier,Known Trier,NonUser,No - maybe future,High,3. SuperMarket,Hand
use_1jLsElVMyJY8fnF9xRY1TzdaCVw,52,F,2015-09-14T05:10:38Z,fr,FRA,True,True,84870,1,2021-05-11T10:04:20.93348Z,Active,Electric,Powder,,,,,,Yes,High,,Auto
use_Ovf6ylIldrXqZI6yHBH1TzdXfuD,42,F,2018-10-14T20:55:58Z,fr,FRA,True,True,70300,4+,2021-04-07T19:44:02.58086Z,Active,Electric,Pods,,,Known Trier,Known Trier,Low,Yes,,,Auto
use_Ks57hL7jDXZm4VqLcu01Tzdf6VA,44,F,2019-06-20T08:36:45Z,fr,FRA,True,True,02200,1,2020-04-09T07:56:16.497472Z,Active,Manual,Pods,,,,,Low,Yes,,,Hand
use_ChRQx10FGfzk13QvV7q1TzeNDw2,34,F,2015-10-13T23:13:34Z,fr,FRA,True,True,93330,2,2021-04-10T13:44:08.055088Z,Lapsed,Electric,Pods,,,,Known Trier,Low,Yes,Low,,Hand
use_amYx29HypPwG8OHRvuy1TzdcH8a,24,F,2017-01-26T13:25:20Z,fr,FRA,True,True,37000,1,2021-05-11T07:04:20.537349Z,Active,Manual,,,,,,,Yes,Low,,Hand
use_N6F3KGJ9HfPiO0N7f4Z1TzdeaaG,70,F,2010-04-11T00:00:00Z,fr,FRA,True,True,77200,0,2021-02-13T16:04:24.468536Z,Active,Manual,Liquid,,,,,,No - maybe future,Medium,1. Magasin de Proximit�,Hand
use_4tOyGZkM8Lp9Lqoh7yL1Tzf1kzv,34,F,2018-12-12T13:26:22Z,fr,FRA,True,False,53320,2,2020-07-22T09:49:29.678412Z,Lapsing,Manual,Liquid,,,,,,No,,,Auto
use_ssppHYeQrwBgILhyRlN1Tzdc5Wu,47,F,2015-04-01T16:24:48Z,fr,FRA,True,True,11200,0,2021-01-03T13:59:43.639188Z,Active,Manual,,,,Known Trier,Known Trier,Low,No - maybe future,,,Hand
use_dnIsYdOInTGAgi1qw341TzdoacY,42,F,2007-03-09T00:00:00Z,fr,FRA,True,True,44300,0,2021-05-29T16:25:05.018285Z,Active,,Liquid,,,,Known Trier,,No,High,,Hand
use_bHFar4KRLMM8cqwDmyh1TzeZQn1,42,F,2015-03-15T21:09:03Z,fr,FRA,True,True,80100,1,2021-05-07T20:31:03.715714Z,Active,Manual,Liquid,,,,,,Yes,High,,Auto
use_byEIuHQcjSkKulUf7I21TzdiE3p,44,F,2019-08-11T12:44:41Z,fr,FRA,True,True,78370,1,2021-04-20T19:29:24.014032Z,Active,Manual,Liquid,,,Known Trier,Known Trier,High,No,,,Hand
use_dDigYQnoF5FpWi1Erd91TzddQQC,61,F,2017-10-30T10:18:48Z,fr,FRA,True,True,94500,1,2021-05-24T08:42:44.911347Z,Active,Manual,Pods,,,,,Low,No - maybe future,Low,,Hand
use_IMIo4IPCeh2PqQoefde1Tze9R5D,48,F,2015-04-26T23:51:47Z,fr,FRA,True,True,59000,0,2020-04-10T19:02:35.578076Z,Lapsed,Manual,Pods,,,Known Trier,,High,Yes,High,,Hand
use_aYn28hqnmQoDyzY6BhU1TzcZ3Xs,59,M,2015-06-25T00:00:00Z,fr,FRA,True,True,49430,0,2021-05-02T16:47:23.259373Z,Active,,Powder,,,,,Low,Yes,Low,,Auto
